,Fiyat,Oda,Alan,Yas,Konum,Kat
276,930,1,41,32,Adalar,11
277,1611,3,101,61,Adalar,14
278,33,0,11,27,Adalar,11
279,1546,2,31,38,Adalar,11
280,1933,2,16,45,Adalar,11
281,1830,0,21,43,Adalar,0
282,1422,4,61,39,Adalar,13
283,322,4,353,1,Adalar,13
284,322,4,353,1,Adalar,13
285,821,1,31,8,Adalar,14
286,1865,0,348,60,Adalar,4
287,549,0,1,41,Adalar,14
288,549,0,1,41,Adalar,14
289,1648,0,71,43,Adalar,13
290,1180,4,11,39,Adalar,13
291,215,4,6,23,Adalar,13
292,1721,1,11,38,Adalar,11
293,1048,1,6,0,Adalar,14
294,451,0,21,38,Adalar,14
295,1750,0,121,61,Adalar,0
296,2008,0,51,17,Adalar,11
297,2008,0,51,17,Adalar,11
298,215,4,6,23,Adalar,13
299,173,1,21,0,Adalar,11
300,173,1,21,0,Adalar,11
301,709,0,111,18,Adalar,0
302,2106,1,46,0,Adalar,17
303,1089,0,355,4,Adalar,14
304,1789,1,111,32,Adalar,14
305,1789,1,111,32,Adalar,14
306,1789,0,353,0,Adalar,14
307,1789,0,353,0,Adalar,14
308,560,0,171,27,Adalar,19
309,560,0,171,27,Adalar,19
310,1382,4,11,39,Adalar,13
311,1025,0,95,0,Adalar,1
312,1897,4,347,48,Adalar,13
313,917,0,360,8,Adalar,0
314,1897,4,347,48,Adalar,13
315,1025,0,95,0,Adalar,1
316,323,4,121,0,Adalar,18
317,323,4,121,0,Adalar,18
318,640,0,353,0,Adalar,0
319,1180,0,16,0,Adalar,0
320,1596,0,353,0,Adalar,13
321,232,0,360,60,Adalar,11
322,1488,0,11,32,Adalar,11
323,1578,0,1,33,Adalar,13
324,1354,4,38,38,Adalar,13
325,1488,0,81,42,Adalar,13
326,322,0,11,39,Adalar,11
327,1731,1,26,49,Adalar,13
328,728,0,16,27,Adalar,16
329,1706,2,31,39,Adalar,17
330,811,0,26,44,Adalar,0
331,930,1,6,30,Adalar,18
332,1638,0,252,2,Adalar,8
333,1432,3,36,19,Adalar,13
334,1382,0,337,64,Adalar,13
335,1120,0,315,38,Adalar,11
336,1432,3,36,19,Adalar,13
337,891,0,353,48,Adalar,14
338,1488,0,38,16,Adalar,11
339,2098,2,41,49,Adalar,11
340,1341,2,41,32,Adalar,13
341,1864,0,66,33,Adalar,5
342,729,0,124,75,Adalar,17
343,2049,4,42,0,Adalar,11
344,1488,0,38,16,Adalar,11
345,2049,4,42,0,Adalar,11
346,1897,0,21,46,Adalar,13
347,729,0,124,75,Adalar,17
348,2,0,9,0,Adalar,13
349,1702,0,46,39,Adalar,14
350,1789,0,332,81,Adalar,1
351,1789,0,332,81,Adalar,1
352,728,0,16,27,Adalar,16
353,63,2,339,4,Adalar,11
354,2136,4,81,60,Adalar,3
355,1578,0,51,42,Adalar,13
356,1648,0,39,0,Adalar,5
357,1578,4,9,43,Adalar,11
358,1536,4,31,36,Adalar,13
359,240,2,86,38,Adalar,13
360,1648,0,39,0,Adalar,5
361,1382,1,26,0,Adalar,17
362,1476,0,308,0,Adalar,13
363,1175,0,46,0,Adalar,13
364,1044,0,54,0,Adalar,1
365,1044,0,54,0,Adalar,1
366,1578,0,41,41,Adalar,13
367,1779,1,31,33,Adalar,11
368,1175,0,46,0,Adalar,13
369,1104,4,46,81,Adalar,13
370,1104,4,46,81,Adalar,13
371,251,0,71,39,Adalar,14
372,1821,0,91,0,Adalar,14
373,2106,1,41,38,Adalar,11
374,1982,0,76,67,Adalar,0
375,2058,1,353,38,Adalar,0
376,414,0,31,39,Adalar,15
377,2098,2,39,50,Adalar,11
378,1149,2,16,49,Adalar,13
379,1149,2,16,49,Adalar,13
380,414,0,31,39,Adalar,15
381,1180,0,347,38,Adalar,0
382,202,0,332,24,Adalar,13
383,1779,1,31,33,Adalar,11
384,1779,1,31,33,Adalar,11
385,1488,0,38,16,Adalar,11
386,991,0,347,0,Adalar,13
387,708,0,21,32,Adalar,0
388,1383,2,51,39,Adalar,13
389,708,0,21,32,Adalar,0
390,1841,0,347,0,Adalar,11
391,187,4,38,0,Adalar,1
392,1383,2,51,39,Adalar,13
393,187,4,38,0,Adalar,1
394,1422,0,41,43,Adalar,19
395,1422,0,41,43,Adalar,19
396,136,2,36,23,Adalar,0
397,930,2,26,23,Adalar,13
398,930,2,26,23,Adalar,13
399,1185,0,360,48,Adalar,11
400,930,2,26,23,Adalar,13
401,753,1,360,32,Adalar,11
402,233,0,21,78,Adalar,11
403,1149,0,16,49,Adalar,0
404,625,3,339,48,Adalar,0
405,1264,3,353,23,Adalar,18
406,1264,3,353,23,Adalar,18
407,1510,3,338,41,Adalar,0
408,1180,1,61,0,Adalar,17
409,625,3,339,48,Adalar,0
410,1180,1,61,0,Adalar,17
411,251,0,71,39,Adalar,14
412,251,0,71,39,Adalar,14
413,63,4,1,0,Adalar,16
414,1488,1,91,38,Adalar,11
415,1331,0,101,39,Adalar,11
416,1401,4,366,15,Adalar,14
417,1317,2,6,48,Adalar,17
418,1264,0,1,43,Adalar,0
419,1297,2,193,39,Adalar,0
420,811,0,61,0,Adalar,11
421,700,2,71,34,Adalar,13
422,1341,1,353,32,Adalar,0
423,881,4,46,27,Adalar,13
424,1638,0,252,2,Adalar,8
425,399,2,360,48,Adalar,11
426,1596,0,353,0,Adalar,13
427,2008,1,39,46,Adalar,13
428,1897,4,46,4,Adalar,14
429,881,4,46,27,Adalar,13
430,1272,1,36,17,Adalar,14
431,415,0,232,35,Adalar,11
432,1272,1,36,17,Adalar,14
433,1488,4,98,38,Adalar,14
434,1779,1,353,75,Adalar,9
435,1779,1,353,75,Adalar,9
436,2,0,353,0,Adalar,15
437,1677,4,86,60,Adalar,13
438,1297,0,360,0,Adalar,0
439,415,0,232,35,Adalar,11
440,991,0,360,48,Adalar,14
441,2106,0,101,48,Adalar,11
442,1685,2,91,43,Adalar,0
443,221,4,31,37,Adalar,18
444,1297,0,360,0,Adalar,0
445,1383,2,51,39,Adalar,13
446,34,2,41,0,Adalar,1
447,1488,4,41,33,Adalar,11
448,1864,4,101,39,Adalar,13
449,2008,4,21,31,Adalar,11
450,564,4,91,39,Adalar,15
451,1330,4,101,48,Adalar,15
452,1048,4,126,35,Adalar,14
453,1816,1,21,38,Adalar,11
454,1009,1,1,8,Adalar,13
455,2059,0,360,48,Adalar,14
456,1637,2,360,35,Adalar,11
457,1789,0,91,53,Adalar,14
458,1789,0,362,42,Adalar,14
459,753,1,16,33,Adalar,15
460,753,1,16,33,Adalar,15
461,1442,0,51,32,Adalar,13
462,1211,0,41,17,Adalar,0
463,753,1,16,33,Adalar,15
464,1409,4,11,12,Adalar,11
465,588,0,321,38,Adalar,11
466,780,0,332,4,Adalar,11
467,1201,0,366,60,Adalar,0
468,1409,4,11,12,Adalar,11
469,588,0,321,38,Adalar,11
470,1963,0,360,40,Adalar,13
471,1089,2,366,48,Adalar,13
472,1789,4,81,2,Adalar,11
473,2059,1,46,44,Adalar,13
474,1211,0,41,17,Adalar,0
475,564,4,91,39,Adalar,15
476,2008,1,46,46,Adalar,11
477,1611,1,36,19,Adalar,14
478,1199,0,46,27,Adalar,0
479,1211,4,320,2,Adalar,11
480,1685,1,61,43,Adalar,13
481,1945,2,41,49,Adalar,11
482,1611,1,36,19,Adalar,14
483,1921,0,29,23,Adalar,16
484,1196,0,353,39,Adalar,15
485,1199,0,46,27,Adalar,0
486,250,0,339,27,Adalar,13
487,1199,0,46,27,Adalar,0
488,1432,0,1,16,Adalar,0
489,2,0,61,78,Adalar,11
490,1562,0,31,35,Adalar,13
491,673,2,1,24,Adalar,14
492,673,2,1,24,Adalar,14
493,673,2,1,24,Adalar,14
494,1578,0,81,38,Adalar,11
495,1211,4,320,2,Adalar,11
496,2008,4,51,31,Adalar,11
497,930,4,21,33,Adalar,11
498,1936,0,51,8,Adalar,14
499,399,0,46,27,Adalar,15
500,1024,4,1,38,Adalar,11
501,930,0,95,33,Adalar,13
502,1578,2,16,38,Adalar,11
503,1615,0,1,4,Adalar,13
504,1488,0,51,49,Adalar,0
505,771,2,11,33,Adalar,13
506,313,0,41,33,Adalar,14
507,387,2,31,32,Adalar,0
508,930,2,95,54,Adalar,14
509,930,2,95,54,Adalar,14
510,387,2,31,32,Adalar,0
511,1963,0,101,38,Adalar,14
512,1615,0,1,4,Adalar,13
513,1830,1,21,39,Adalar,0
514,1721,0,11,1,Adalar,13
515,217,2,366,27,Adalar,0
516,1317,2,332,54,Adalar,14
517,2008,4,61,0,Adalar,14
518,1648,0,31,32,Adalar,11
519,753,1,347,0,Adalar,18
520,387,2,31,32,Adalar,0
521,1578,4,21,38,Adalar,11
522,1317,2,332,54,Adalar,14
523,753,1,347,0,Adalar,18
524,516,1,366,71,Adalar,0
525,1118,0,66,32,Adalar,11
