,Fiyat,Oda,Alan,Yas,Konum,Kat
35045,232,4,11,39,Eyüpsultan,0
35046,2008,1,29,71,Eyüpsultan,0
35047,1620,0,121,48,Eyüpsultan,0
35048,1181,4,101,0,Eyüpsultan,0
35049,1648,1,26,0,Eyüpsultan,0
35050,1185,0,360,48,Eyüpsultan,0
35051,961,4,353,0,Eyüpsultan,0
35052,1024,4,31,71,Eyüpsultan,0
35053,629,4,21,16,Eyüpsultan,0
35054,971,0,368,60,Eyüpsultan,0
35055,1223,4,21,48,Eyüpsultan,0
35056,1488,2,366,0,Eyüpsultan,0
35057,1124,2,1,48,Eyüpsultan,0
35058,1089,2,366,48,Eyüpsultan,0
35059,902,0,41,0,Eyüpsultan,0
35060,902,0,41,0,Eyüpsultan,0
35061,477,2,21,0,Eyüpsultan,0
35062,736,2,6,0,Eyüpsultan,0
35063,588,2,276,60,Eyüpsultan,0
35064,387,0,1,49,Eyüpsultan,0
35065,1517,0,360,60,Eyüpsultan,0
35066,477,2,21,0,Eyüpsultan,0
35067,1685,0,360,60,Eyüpsultan,0
35068,1897,4,146,33,Eyüpsultan,0
35069,771,0,6,71,Eyüpsultan,0
35070,1789,0,11,0,Eyüpsultan,0
35071,10,0,11,0,Eyüpsultan,0
35072,1789,0,11,0,Eyüpsultan,0
35073,1789,0,11,0,Eyüpsultan,0
35074,205,2,101,60,Eyüpsultan,0
35075,1317,2,11,1,Eyüpsultan,0
35076,1238,0,31,19,Eyüpsultan,0
35077,629,4,21,16,Eyüpsultan,0
35078,1196,2,360,48,Eyüpsultan,1
35079,961,4,353,0,Eyüpsultan,0
35080,961,4,353,0,Eyüpsultan,0
35081,1181,4,101,0,Eyüpsultan,0
35082,881,0,347,0,Eyüpsultan,0
35083,1181,4,101,0,Eyüpsultan,0
35084,961,0,360,60,Eyüpsultan,0
35085,961,0,360,60,Eyüpsultan,0
35086,951,0,39,8,Eyüpsultan,0
35087,951,0,39,8,Eyüpsultan,0
35088,1648,1,339,0,Eyüpsultan,0
35089,1009,4,11,33,Eyüpsultan,0
35090,2045,4,31,48,Eyüpsultan,0
35091,1399,3,347,0,Eyüpsultan,0
35092,91,3,26,0,Eyüpsultan,1
35093,1648,1,26,0,Eyüpsultan,0
35094,1534,2,51,1,Eyüpsultan,1
35095,951,1,356,0,Eyüpsultan,0
35096,1809,1,36,71,Eyüpsultan,0
35097,2045,4,31,48,Eyüpsultan,0
35098,2045,4,31,48,Eyüpsultan,0
35099,811,0,347,0,Eyüpsultan,0
35100,811,0,347,0,Eyüpsultan,0
35101,1104,0,160,4,Eyüpsultan,0
35102,148,4,121,23,Eyüpsultan,0
35103,148,4,121,23,Eyüpsultan,0
35104,853,1,360,37,Eyüpsultan,0
35105,1068,0,16,0,Eyüpsultan,0
35106,1857,0,42,0,Eyüpsultan,0
35107,1857,0,42,0,Eyüpsultan,0
35108,1180,0,366,0,Eyüpsultan,0
35109,1264,3,353,23,Eyüpsultan,0
35110,1341,0,121,23,Eyüpsultan,0
35111,1341,0,121,23,Eyüpsultan,0
35112,1444,1,184,2,Eyüpsultan,0
35113,1432,0,366,75,Eyüpsultan,0
35114,1806,1,71,23,Eyüpsultan,0
35115,1510,0,332,48,Eyüpsultan,1
35116,1874,1,31,54,Eyüpsultan,0
35117,1367,0,319,0,Eyüpsultan,0
35118,1874,1,31,54,Eyüpsultan,0
35119,1367,0,319,0,Eyüpsultan,0
35120,1024,4,360,75,Eyüpsultan,0
35121,1432,0,339,64,Eyüpsultan,0
35122,411,2,21,33,Eyüpsultan,0
35123,388,2,68,54,Eyüpsultan,0
35124,1546,2,51,38,Eyüpsultan,0
35125,673,4,322,39,Eyüpsultan,0
35126,388,2,68,54,Eyüpsultan,0
35127,902,4,322,0,Eyüpsultan,0
35128,1488,4,46,60,Eyüpsultan,0
35129,1297,0,353,60,Eyüpsultan,0
35130,2077,0,46,60,Eyüpsultan,0
35131,1246,0,366,0,Eyüpsultan,0
35132,239,0,76,48,Eyüpsultan,1
35133,239,0,76,48,Eyüpsultan,1
35134,1488,0,347,48,Eyüpsultan,0
35135,910,2,269,60,Eyüpsultan,0
35136,811,2,339,49,Eyüpsultan,0
35137,1488,0,347,48,Eyüpsultan,0
35138,1264,4,81,48,Eyüpsultan,0
35139,1488,0,347,48,Eyüpsultan,0
35140,834,0,353,60,Eyüpsultan,0
35141,834,0,353,60,Eyüpsultan,0
35142,1432,0,339,64,Eyüpsultan,0
35143,1669,4,51,15,Eyüpsultan,0
35144,424,4,86,32,Eyüpsultan,1
35145,278,0,353,46,Eyüpsultan,0
35146,424,4,86,32,Eyüpsultan,1
35147,517,4,114,37,Eyüpsultan,0
35148,2094,0,31,48,Eyüpsultan,1
35149,1317,1,366,37,Eyüpsultan,0
35150,649,0,21,36,Eyüpsultan,0
35151,1488,0,1,33,Eyüpsultan,0
35152,2094,0,31,48,Eyüpsultan,1
35153,811,0,315,48,Eyüpsultan,0
35154,45,0,151,60,Eyüpsultan,0
35155,1196,0,319,75,Eyüpsultan,1
35156,1196,0,319,75,Eyüpsultan,1
35157,1196,0,353,0,Eyüpsultan,0
35158,1196,0,319,75,Eyüpsultan,1
35159,1897,0,13,75,Eyüpsultan,0
35160,1382,3,71,60,Eyüpsultan,0
35161,1238,0,71,31,Eyüpsultan,1
35162,1010,0,252,4,Eyüpsultan,0
35163,1884,2,81,33,Eyüpsultan,0
35164,1809,4,11,37,Eyüpsultan,0
35165,1809,4,11,37,Eyüpsultan,0
35166,1211,1,337,81,Eyüpsultan,0
35167,1211,1,337,81,Eyüpsultan,0
35168,1488,2,276,1,Eyüpsultan,0
35169,498,1,111,17,Eyüpsultan,0
35170,1726,0,13,0,Eyüpsultan,0
35171,498,1,111,17,Eyüpsultan,0
35172,1196,0,319,75,Eyüpsultan,1
35173,424,4,86,32,Eyüpsultan,1
35174,1422,0,353,4,Eyüpsultan,0
35175,1317,2,11,39,Eyüpsultan,0
35176,930,0,11,60,Eyüpsultan,0
35177,930,0,11,60,Eyüpsultan,0
35178,47,4,86,23,Eyüpsultan,0
35179,1030,3,1,60,Eyüpsultan,0
35180,259,0,121,48,Eyüpsultan,1
35181,1677,2,353,39,Eyüpsultan,0
35182,864,2,31,18,Eyüpsultan,0
35183,1382,0,360,0,Eyüpsultan,0
35184,1874,0,31,0,Eyüpsultan,0
35185,1884,0,7,0,Eyüpsultan,0
35186,1702,0,61,4,Eyüpsultan,0
35187,650,0,81,0,Eyüpsultan,0
35188,1136,0,111,0,Eyüpsultan,0
35189,1454,0,41,60,Eyüpsultan,0
35190,1454,0,41,60,Eyüpsultan,0
35191,1454,0,41,60,Eyüpsultan,0
35192,1741,0,1,0,Eyüpsultan,0
35193,1136,0,111,0,Eyüpsultan,0
35194,661,0,121,4,Eyüpsultan,0
35195,2021,0,21,17,Eyüpsultan,0
35196,1697,0,61,30,Eyüpsultan,0
35197,1536,0,31,60,Eyüpsultan,1
35198,1317,4,353,0,Eyüpsultan,0
35199,1089,4,11,23,Eyüpsultan,0
35200,1089,4,11,23,Eyüpsultan,0
35201,290,0,91,27,Eyüpsultan,1
35202,576,4,21,0,Eyüpsultan,0
35203,930,0,11,60,Eyüpsultan,0
35204,1367,0,366,4,Eyüpsultan,0
35205,781,0,49,48,Eyüpsultan,0
35206,1056,1,360,0,Eyüpsultan,1
35207,661,0,210,4,Eyüpsultan,0
35208,1264,0,339,49,Eyüpsultan,0
35209,1264,0,339,49,Eyüpsultan,0
35210,935,4,232,4,Eyüpsultan,0
35211,498,1,111,17,Eyüpsultan,0
35212,1341,0,21,0,Eyüpsultan,0
35213,991,0,21,17,Eyüpsultan,0
35214,1789,0,347,54,Eyüpsultan,0
35215,1789,0,347,54,Eyüpsultan,0
35216,1317,2,11,39,Eyüpsultan,0
35217,1488,2,71,60,Eyüpsultan,0
35218,1789,0,347,54,Eyüpsultan,0
35219,498,1,111,17,Eyüpsultan,0
35220,498,1,111,17,Eyüpsultan,0
35221,1482,1,1,12,Eyüpsultan,0
35222,1054,0,91,16,Eyüpsultan,0
35223,1813,0,36,2,Eyüpsultan,0
35224,1382,0,41,60,Eyüpsultan,0
35225,498,1,111,17,Eyüpsultan,0
35226,498,1,111,17,Eyüpsultan,0
35227,1669,1,131,60,Eyüpsultan,0
35228,918,0,360,0,Eyüpsultan,1
35229,233,0,96,60,Eyüpsultan,0
35230,1743,4,1,0,Eyüpsultan,0
35231,1743,4,1,0,Eyüpsultan,0
35232,881,0,353,0,Eyüpsultan,0
35233,1024,1,71,48,Eyüpsultan,0
35234,1024,1,71,48,Eyüpsultan,0
35235,1342,0,71,78,Eyüpsultan,0
35236,991,0,332,1,Eyüpsultan,0
35237,971,0,360,0,Eyüpsultan,0
35238,1354,0,16,60,Eyüpsultan,0
35239,54,4,97,48,Eyüpsultan,1
35240,1936,0,36,8,Eyüpsultan,1
35241,1048,0,360,23,Eyüpsultan,0
35242,811,0,46,38,Eyüpsultan,0
35243,2031,0,66,67,Eyüpsultan,0
35244,1264,0,11,1,Eyüpsultan,0
35245,1605,0,348,4,Eyüpsultan,0
35246,991,4,360,1,Eyüpsultan,0
35247,1526,1,46,60,Eyüpsultan,0
